id,campaign_id,audience_type,audience_label,details,extracted_at
6185,444,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6186,445,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6190,446,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6188,459,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6189,461,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6191,462,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6187,463,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6198,467,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6192,468,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6193,470,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6194,476,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6195,481,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6176,485,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6197,486,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6180,490,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6199,494,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6200,497,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6201,497,new_customer,Yeni Müşteriler,,2026-08-10T13:45:46+00:00
6202,498,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6203,500,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6204,501,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6205,506,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6206,511,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6207,511,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6208,514,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6209,518,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6210,521,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6211,521,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6219,523,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6220,523,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6212,525,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6213,525,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6214,528,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6215,528,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6216,539,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6217,542,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6218,542,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6221,549,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
6222,549,card_holder,Bireysel Âlâ Kart Sahipleri,,2026-08-10T13:45:46+00:00
6223,551,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6224,553,card_holder,Kart Sahipleri,,2026-08-10T13:45:46+00:00
6225,553,individual_customer,Bireysel Müşteriler,,2026-08-10T13:45:46+00:00
