campaign_id,minimum_transaction_amount,maximum_transaction_amount,installment_count,installment_cost_rate,installment_cost_text,evidence_text,extracted_at
152,,,,0.0,Vade farksız (%0),Hantech’de Vade Farksız 9 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
155,,,,0.0,Vade farksız (%0),İmza’da Vade Farksız 6 Aya Varan Taksit Fırsatı Kampanya Tarihleri 22.10.2025 - 31.12.2026 Kampanyayı Paylaş Kuveyt Türk bireysel kredi kartları ile 31 Aralık 2026 tarihine kadar İmza mağazalarında yapacağınız alışverişlerinizde vade farksız 6 aya varan taksit imkanı sizi bekliyor.,2026-08-10T13:45:46+00:00
156,,,,0.0,Vade farksız (%0),İşbir Yatak ile 6’ya Varan Taksit İmkanı!,2026-08-10T13:45:46+00:00
157,,,,0.0,Vade farksız (%0),Kiğılı’da Vade Farksız 4 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
158,,,,0.0,Vade farksız (%0),Koçtaş’ta Vade Farksız 6 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
159,,,,0.0,Vade farksız (%0),Konfor’da Vade Farksız 9 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
160,,,,0.0,Vade farksız (%0),Konyalı Saat ile 7 Aya Varan Taksit İmkanı!,2026-08-10T13:45:46+00:00
161,,,,0.0,Vade farksız (%0),Korayspor ile Vade Farksız 4'e Varan Taksit İmkanı!,2026-08-10T13:45:46+00:00
164,,,9,0.0,Vade farksız (%0),"Kuveyt Türk Müşterilerine Özel %2,99 Oranlı Kar Paylı Taksitlendirme Fırsatı!",2026-08-10T13:45:46+00:00
166,,,,0.0,Vade farksız (%0),Lajivert ve Ritmik Mobilya’da Vade Farksız 9 Aya Varan Taksit Fırsatı Kampanya Tarihleri 6.03.2026 - 31.12.2026 Kampanyayı Paylaş Kuveyt Türk bireysel kredi kartları ile 31 Aralık 2026’ya kadar Lajivert Mobilya ve Ritmik Mobilya mağazaları ve resmi web sitesinde yapacağınız alışverişlerinizde 9 aya varan taksit imkanı sizi bekliyor.,2026-08-10T13:45:46+00:00
167,,,,0.0,Vade farksız (%0),Lastikcim.com'da Vade Farksız 6 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
169,,,3,0.0,Vade farksız (%0),MTV Ödemelerinizde Vade Farksız 3 Taksit!,2026-08-10T13:45:46+00:00
170,,,,0.0,Vade farksız (%0),Penelope ve Othello’da Vade Farksız 4 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
171,,,,0.0,Vade farksız (%0),Ramsey’de Vade Farksız 4 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
172,,,,0.0,Vade farksız (%0),Saat&Saat Alışverişlerinizde 5'e Varan Taksit İmkanı!,2026-08-10T13:45:46+00:00
173,,,3,0.0,Vade farksız (%0),"Kampanya Tarihleri 30.07.2025 - 31.12.2026 Kampanyayı Paylaş 31 Aralık 2026 tarihine kadar yapacağınız tatil harcamalarınızda 9 aya varan taksit avantajından yararlanabilir, Halalbooking’e kaydolurken 1.000 TL değerinde indirim kazanabilirsiniz.",2026-08-10T13:45:46+00:00
174,,,5,0.0,Vade farksız (%0),Sağlık Harcamalariniza 5 Taksit Imkani Kampanya Tarihleri 14.02.2024 - 31.12.2026 Kampanyayı Paylaş Sağlam Kart Sağlık Kampanyası Artık Kuveyt Türk Mobil ’de!,2026-08-10T13:45:46+00:00
175,,,,0.0,Vade farksız (%0),Starwood Yapı Market’te Vade Farksız 3 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
176,,,,0.0,Vade farksız (%0),Tergan’da Vade Farksız 3 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
177,,,12,,,Vaillant’ta 12 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
178,,,3,0.0,Vade farksız (%0),Vatan Bilgisayar’da Vade Farksız 3 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
180,,,,0.0,Vade farksız (%0),Wome Deluxe Hotel’de 9 Aya Varan Taksit Fırsatı!,2026-08-10T13:45:46+00:00
181,,,5,0.0,Vade farksız (%0),Yeni Sağlam Kart Troy'lulara Özel Vade Farksız 5 Aya Varan Taksit İmkanı!,2026-08-10T13:45:46+00:00
182,,,,0.0,Vade farksız (%0),Yenilio'ya Özel Vade Farksız 12'ye Varan Taksit İmkanı!,2026-08-10T13:45:46+00:00
